,name,type_,group,genre_list,gender,language_list,model_list,debut,status,freq,subs,views
303,たまこ。Ch./あおぎり高校,VTuber,Independent,[],Female,['Japanese'],['3D'],2018/10/27,+ Add,Every 2.8 Day(s),188k,13.1m
304,陽向葵ゅか,VTuber,Independent,[],Female,['Japanese'],[],+ Add,+ Add,Every 4.23 Day(s),104k,9.3m
305,Poteti,VTuber,S:gnal,[],Female,['Japanese'],['L2D'],2018/04/18,Active,Every 5.41 Day(s),84.1k,3.9m
306,Rosedoodle ,VTuber,Independent,[],Female,['English'],['3D'],2017/2018,+ Add,Every 2.12 Day(s),377.4k,16.2m
307,れいきら!,VTuber,Independent,[],Female,['Japanese'],[],+ Add,+ Add,Every 3.97 Day(s),146k,7.6m
308,Haruka Karibu,VTuber,Independent,[],Female,['English'],['3D'],2019/10/08,Active,Every 2.26 Day(s),195k,2.9m
309,Mochi Hiyoko,VTuber,MochiPro,[],Female,['Japanese'],['3D'],2018/01/05,+ Add,Every 4.87 Day(s),76.8k,7.1m
310,VRFunny,VStreamer,Independent,"['Anime', 'Chatting', 'Gaming', 'Mature']",Female,['English'],['3D'],+ Add,Active,Every 1.73 Day(s),134.4k,38.2m
311,浅井ラム映画レビュー【知的風ハット】,VTuber,Independent,[],Female,['Japanese'],[],+ Add,+ Add,Every 14.61 Day(s),119k,1.8m
312,Seto Miyako,VTuber,Nijisanji,[],Female,['Japanese'],['L2D'],2019/01/30,+ Add,Every 1.37 Day(s),146k,11.1m
313,zone_tan,VTuber,Independent,[],Female,['English'],[],+ Add,+ Add,Every 15.83 Day(s),779.4k,95m
314,Alia Adelia,VTuber,MAHAPANCA,[],Female,['Indonesian'],['3D'],2020-02-21,+ Add,Every 1.77 Day(s),365k,24.5m
315,Alice Mana,VTuber,Independent,[],Female,"['Japanese', 'Korean']",['L2D'],2018/09/05,Retired,Every 1.58 Day(s),92.8k,1.7m
316,Kosaka Nina,VTuber,Nijisanji,"['Anime', 'Chatting', 'Gaming']",Female,"['English', 'French', 'Russian']",['L2D'],09/10/2021,Active,Every 0.71 Day(s),149k,3.9m
317,Kishido Temma,VTuber,Hololive,['Gaming'],Male,['Japanese'],['L2D'],2019/12/14,Active,Every 1.07 Day(s),111k,4.7m
318,Honma Himawari,VTuber,Nijisanji,[],Female,['Japanese'],"['3D', 'L2D']",2018/07/11,+ Add,Every 1.46 Day(s),682k,184.2m
319,夜の雑学 金美館通りの藤村さん,VTuber,Independent,[],Female,['Japanese'],[],+ Add,+ Add,Every 2.04 Day(s),96.2k,36.7m
320,Fae Leon ,VStreamer,Independent,"['Anime', 'Art', 'Gaming']",Female,"['English', 'German']",['L2D'],4/17/2021,Active,Every 12.28 Day(s),130.7k,16.5m
321,YuNi,VTuber,Upd8,[],Female,['Japanese'],['L2D'],2018/6/14,+ Add,Every 6.05 Day(s),369k,100.2m
322,keiichi arawi,VTuber,Independent,[],Female,['Japanese'],[],+ Add,+ Add,Every 147.86 Day(s),189k,7.3m
323,LemonLeafASMR,VTuber,Independent,[],Female,['English'],['L2D'],+ Add,Active,Every 7.01 Day(s),120.8k,15.1m
324,LIZ,VTuber,Wright Flyer Live Entertainment,[],Female,['Japanese'],['3D'],2018/06/15,+ Add,Every 10.86 Day(s),120k,18.8m
325,Liliana Vampaia,VTuber,Independent,[],Female,"['English', 'Malay']",['L2D'],2020-06-19,+ Add,Every 2.49 Day(s),91.1k,2.2m
326,Joe Rikiichi,VTuber,Nijisanji,[],Male,['Japanese'],"['3D', 'L2D']",2018/09/04,+ Add,Every 2.52 Day(s),350k,51.3m
327,Todo Kohaku,VTuber,Nijisanji,[],Female,['Japanese'],['L2D'],2020/08/10,+ Add,Every 5.66 Day(s),105k,8.3m
328,うみCh.幽ヶ崎海愛,VTuber,Independent,[],Female,['Japanese'],[],+ Add,+ Add,Every 4.76 Day(s),102k,6.1m
329,Yumeno Shiori,VTuber,IRIAM,[],Female,['Japanese'],['L2D'],2018/04/19,+ Add,Every 5.45 Day(s),123k,12m
330,BKNChannel,VTuber,Independent,[],Female,['Japanese'],[],+ Add,+ Add,Every 35.87 Day(s),182k,2.9m
331,Yuzuki Roa,VTuber,Nijisanji,[],Female,['Japanese'],['L2D'],2019/01/17,+ Add,Every 1.79 Day(s),350k,36.2m
332,Qualia Qu,VTuber,Re:AcT,[],Female,"['Japanese', 'Thai']",['L2D'],2020/06/29,+ Add,Every 1.4 Day(s),139k,10.3m
333,Umai Lele,VStreamer,Independent,"['Chatting', 'Gaming']",Female,"['English', 'Filipino']",['L2D'],10/10/2020,Active,Every 3.76 Day(s),81.1k,6.5m
334,Gundo Mirei,VTuber,Nijisanji,[],Female,['Japanese'],"['3D', 'L2D']",2019/01/20,+ Add,Every 0.87 Day(s),382k,55m
335,THE BINARY mido & あかまる,VTuber,Independent,[],Female,['Japanese'],[],+ Add,+ Add,Every 36.05 Day(s),71.4k,10m
336,Ai Angel,VTuber,Independent,[],Female,['English'],['3D'],2019/04/17,+ Add,Every 7.1 Day(s),719k,21.1m
337,ARu子,VTuber,Independent,[],Female,['Japanese'],[],+ Add,+ Add,Every 29.93 Day(s),91k,9.7m
338,Miyu Ottavia,VTuber,Nijisanji,[],Female,['Indonesian'],['L2D'],21/12/2019,+ Add,Every 2.45 Day(s),78.2k,3.3m
339,Kagami Hayato,VTuber,Nijisanji,[],Male,['Japanese'],"['3D', 'L2D']",2019/07/06,+ Add,Every 1.54 Day(s),457k,90.5m
