,name,type_,group,genre_list,gender,language_list,model_list,debut,status,freq,subs,views
0,Lize Helesta,VTuber,Nijisanji,[],Female,['Japanese'],"['3D', 'L2D']",2019/03/23,+ Add,Every 2.51 Day(s),609k,104.6m
1,Naraka,VTuber,Nijisanji,[],Female,['Japanese'],['L2D'],2019/12/29,+ Add,Every 1.91 Day(s),285k,25.3m
2,Takao Shinji,VTuber,Independent,[],Male,['Japanese'],['L2D'],+ Add,+ Add,Every 1.83 Day(s),151k,41.9m
3,Shellin Burgundy,VTuber,Nijisanji,[],Male,['Japanese'],['L2D'],2019/09/21,+ Add,Every 2.83 Day(s),254k,29.9m
4,Souya Ichika,VTuber,AniMare,[],Female,['Japanese'],"['3D', 'L2D']",2018/06/09,+ Add,Every 1.72 Day(s),90.1k,9.4m
5,Shimamura Charlotte,VTuber,HoneyStrap,[],Female,['Japanese'],"['3D', 'L2D']",2018/07/14,+ Add,Every 1.16 Day(s),75.9k,8m
6,Cry,VStreamer,Independent,['Art'],Female,['English'],[],+ Add,Active,Every 9.44 Day(s),475.7k,41.5m
7,Lumi Celestia,VTuber,MAHAPANCA,[],Female,['Indonesian'],['L2D'],2020/08/01,+ Add,Every 4.79 Day(s),177k,5.9m
8,Wolfychu,VStreamer,Independent,['Gaming'],Female,['English'],['L2D'],11/08/2020,Active,Every 1.96 Day(s),501.1k,5.3m
9,Sakura Ritsuki,VTuber,Nijisanji,[],Female,['Japanese'],"['3D', 'L2D']",2018/08/31,+ Add,Every 1.16 Day(s),205k,26m
10,LITA,VTuber,Wright Flyer Live Entertainment,[],Female,['Japanese'],['3D'],2018/06/07,+ Add,Every 13 Day(s),109k,16.8m
11,ビートまりお / COOL&CREATE,VTuber,Independent,[],Female,['Japanese'],[],+ Add,+ Add,Every 2.15 Day(s),150k,20.2m
12,Projekt Melody,VTuber,VShojo,"['Gaming', 'Mature']",Female,['English'],['3D'],2020-02-07,+ Add,Every 1.82 Day(s),1.1m,25.7m
13,Hanabasami Kyo,VTuber,Re:AcT,[],Female,['Japanese'],"['3D', 'L2D']",2018/09/14,+ Add,Every 11.37 Day(s),299k,60m
14,macoto,VTuber,Independent,"['ASMR', 'Chatting', 'Cooking', 'Gaming', 'Music']",Female,['Japanese'],"['3D', 'JPEG', 'L2D']",12/08/2018,Active,Every 8.92 Day(s),151.9k,1.8m
15,遠北千南 / Achikita Chinami 【にじさんじ】,VTuber,Independent,[],Female,['Japanese'],[],+ Add,+ Add,—,77k,3.8m
16,Fushimi Gaku,VTuber,Nijisanji,"['Chatting', 'Gaming']",Male,['Japanese'],['L2D'],2018/03/19,Active,Every 1.8 Day(s),182k,16.7m
17,Shishigami Leona,VTuber,Re:AcT,[],Female,['Japanese'],"['3D', 'L2D']",2018/09/15,+ Add,Every 1.74 Day(s),269k,72.5m
18,WhisperMute ,VStreamer,Independent,"['Chatting', 'Gaming']",Agender,['English'],['3D'],2018-08-05,Active,Every 1.47 Day(s),146.9k,26.8m
19,Shirayuri Lily,VTuber,Independent,[],Female,['Japanese'],"['3D', 'L2D']",26 May 2018,+ Add,Every 0.54 Day(s),114k,8m
20,Kanae,VTuber,Nijisanji,[],Male,['Japanese'],"['3D', 'L2D']",2018/05/02,Active,Every 0.94 Day(s),1.3m,326.3m
21,WooHooLad,VStreamer,Independent,['Gaming'],Genderfluid,['English'],['L2D'],+ Add,Active,Every 0.35 Day(s),121.1k,3.1m
22,Takanashi Kiara,VTuber,Hololive,[],Female,"['English', 'German', 'Japanese']",['L2D'],2020/09/12,Active,Every 1.1 Day(s),1.3m,101.9m
23,Juno,VTuber,Independent,[],Female,['English'],['3D'],2019-01-10,+ Add,Every 10.5 Day(s),73.9k,2.1m
24,GammaInkk,VStreamer,Independent,[],Female,['English'],[],+ Add,+ Add,Every 3.2 Day(s),84.1k,700.9k
25,Eli Conifer,VTuber,Nijisanji,[],Female,['Japanese'],['L2D'],2019/08/13,+ Add,Every 2.88 Day(s),170k,11.4m
26,Domyoji Cocoa,VTuber,Independent,[],Female,['Japanese'],['3D'],2018/07/24,+ Add,Every 4.3 Day(s),226k,32.8m
27,バーチャルジャニーズプロジェクト公式,VTuber,Independent,[],Female,['Japanese'],[],+ Add,+ Add,Every 4.39 Day(s),186k,22.5m
28,Beeewitch,VStreamer,Independent,"['Anime', 'Chatting', 'Education', 'Gaming', 'Horror', 'LGBTQ+']",Female,['English'],"['3D', 'L2D']",01/05/2020,Active,Every 6.55 Day(s),140.5k,8.7m
29,Lewdcast,VTuber,VShojo,"['Chatting', 'Mature']",Female,['English'],"['3D', 'L2D']",09/09/2020,Active,Every 7 Day(s),86.4k,2.4m
30,Shibuya Hal,VTuber,Independent,['Gaming'],Male,['Japanese'],['L2D'],2018/05/06,Active,Every 0.27 Day(s),817k,327.8m
31,Anny,VStreamer,Independent,"['Art', 'Chatting', 'Gaming']",Female,['English'],['L2D'],03/13/2021,Active,Every 12.93 Day(s),241.5k,5.2m
32,ねぷねぷ,VTuber,Independent,[],Female,['Japanese'],[],+ Add,+ Add,Every 3.7 Day(s),86.5k,35.3m
33,Jordan Sweeto,VStreamer,Independent,['Gaming'],Male,['English'],['L2D'],11/14/2020,Active,Every 3.94 Day(s),159.3k,2.1m
34,Yuzuki Choco,VTuber,Hololive,"['ASMR', 'Chatting', 'Gaming']",Female,['Japanese'],"['3D', 'L2D']",2018/09/05,Active,Every 2.28 Day(s),1.1m,29.6m
35,Kagura Suzu,VTuber,.LIVE,[],Female,['Japanese'],['L2D'],20/5/2018,+ Add,Every 1.63 Day(s),88.8k,18.8m
36,Aisha,VTuber,Polygon Project,[],Female,['Thai'],['L2D'],2019/07/29,Active,Every 1.17 Day(s),386k,39m
37,Nyatasha Nyanners,VTuber,VShojo,[],Female,['English'],['L2D'],2020-07-17,+ Add,Every 1 Day(s),2.2m,163.5m
38,Amemori Sayo,VTuber,Nijisanji,[],Female,['Japanese'],['L2D'],2018/08/12,+ Add,Every 29.68 Day(s),152k,15.9m
39,ガッチマンV,VTuber,Independent,[],Female,['Japanese'],[],+ Add,+ Add,Every 1.95 Day(s),443k,65.3m
40,Oozora Subaru,VTuber,Hololive,"['Chatting', 'Gaming', 'Music']",Female,['Japanese'],"['3D', 'L2D']",2018/09/16,Active,Every 1.17 Day(s),1.2m,124.2m
41,Moira,VTuber,Nijisanji,['Chatting'],Female,['Japanese'],['L2D'],2018/02/10,Active,Every 4.16 Day(s),136k,9.3m
42,Takahata,VStreamer,Independent,"['Anime', 'ASMR', 'Chatting', 'Gaming', 'Voice Acting']",Male,['English'],['L2D'],01/01/2021,Active,Every 0.45 Day(s),125.2k,12.8m
43,Ninomae Ina’nis ,VTuber,Hololive,[],Female,['English'],['L2D'],2020/09/13,Active,Every 1.44 Day(s),1.3m,81.5m
44,Mashiro (Nijisanji),VTuber,Nijisanji,[],Male,['Japanese'],['L2D'],2019/12/29,+ Add,Every 2.51 Day(s),306k,34.9m
45,Yuniiho,VTuber,Independent,"['Anime', 'Art', 'Chatting']",Female,"['English', 'Italian']",['L2D'],10/07/2020,Active,Every 1.49 Day(s),72.4k,1.2m
46,Kurusu Natsume,VTuber,Nijisanji,[],Female,['Japanese'],['L2D'],2019/12/29,+ Add,Every 1.41 Day(s),144k,11.5m
47,Warabeda Meiji,VTuber,Nijisanji,[],Female,['Japanese'],"['3D', 'L2D']",2019/01/10,+ Add,Every 8.41 Day(s),237k,24.9m
48,Sakura Miko,VTuber,Hololive,"['Chatting', 'Gaming']",Female,['Japanese'],['3D'],2018/08/01,Active,Every 0.81 Day(s),1.5m,164.4m
49,Yozakura Tama,VTuber,.LIVE,"['Chatting', 'Gaming', 'Music']",Female,['Japanese'],"['3D', 'L2D']",2018/4/27,Retired,Every 1.8 Day(s),102k,11.7m
50,Tokino Sora,VTuber,Hololive,['Music'],Female,['Japanese'],['3D'],2017/09/07,Active,Every 1.53 Day(s),917k,82.2m
51,thecodemiko,VStreamer,Independent,[],Female,['English'],[],+ Add,+ Add,Every 0.91 Day(s),1.2m,42.5m
52,Azuchi Momo,VTuber,Nijisanji,[],Female,['Japanese'],['L2D'],2018/06/15,+ Add,Every 2.22 Day(s),109k,4.4m
53,Debidebi Debiru,VTuber,Independent,[],Female,['Japanese'],"['3D', 'L2D']",2018/08/31,+ Add,Every 3.34 Day(s),519.6k,62.1m
54,Kataribe Tsumugu,VTuber,Nijisanji,[],Female,['Japanese'],['L2D'],2019/01/31,+ Add,Every 5.67 Day(s),72.9k,1m
55,Sleepybunsu,VStreamer,Independent,[],Female,['English'],['3D'],+ Add,Active,Every 4.08 Day(s),1.3m,1.8m
56,Sorahoshi Kirame,VTuber,Nijisanji,[],Female,['Japanese'],['L2D'],2020/07/11,+ Add,Every 2.03 Day(s),143k,6.9m
57,空澄セナ -Asumi Sena-,VTuber,Independent,[],Female,['Japanese'],[],+ Add,+ Add,Every 1.24 Day(s),80.4k,4m
58,MonsterZ MATE,VTuber,Upd8,[],Male,['Japanese'],['3D'],2018/02/18,+ Add,Every 2.06 Day(s),164k,59.9m
59,星園かのん,VTuber,Independent,"['Art', 'ASMR', 'Gaming']",Female,['Japanese'],['L2D'],+ Add,Active,Every 8 Day(s),102.3k,7.3m
60,Omega Sisters,VTuber,Independent,[],Female,['Japanese'],[],2018/03/05,+ Add,Every 1.71 Day(s),286k,95.1m
61,Kanbutsu Himono,VTuber,Independent,[],Female,['Japanese'],['L2D'],2018/04/19,+ Add,Every 13.67 Day(s),95.3k,4.4m
62,Tanaka Hime,VTuber,Independent,[],Female,['Japanese'],['3D'],2018/05/26,+ Add,Every 2.88 Day(s),672k,172.4m
63,Ars Almal,VTuber,Nijisanji,[],Female,['Japanese'],"['3D', 'L2D']",2019/07/28,+ Add,Every 1.17 Day(s),575k,92.7m
64,Murasaki Shion,VTuber,Hololive,"['Chatting', 'Gaming', 'Music']",Female,['Japanese'],"['3D', 'L2D']",2018/08/17,Active,Every 3.54 Day(s),960k,92.5m
65,Matsukai Mao,VTuber,Nijisanji,[],Female,['Japanese'],['L2D'],2019/11/03,+ Add,Every 1.86 Day(s),231k,24.9m
66,korewamoe,VTuber,Independent,[],Female,['English'],[],+ Add,+ Add,Every 33.55 Day(s),382.9k,75.1m
67,Shiki Miyoshino,VTuber,PRISM Project,"['Chatting', 'Gaming', 'Horror', 'Music']",Female,['English'],['L2D'],06/26/21,Active,Every 1.18 Day(s),107k,4.2m
68,Moenaomii,VTuber,Independent,"['Anime', 'Chatting', 'Gaming', 'Horror', 'Music']",Male,"['English', 'Japanese', 'Malay']","['JPEG', 'L2D']",01/01/2021,Active,Every 3.53 Day(s),119k,2m
69,Sukoya Kana,VTuber,Nijisanji,[],Female,['Japanese'],['L2D'],2019/09/21,+ Add,Every 3.58 Day(s),414k,48.6m
70,Shirakami Fubuki,VTuber,Hololive,"['Chatting', 'Gaming', 'Music']",Female,['Japanese'],"['3D', 'L2D']",2018/06/01,Active,Every 0.71 Day(s),1.8m,243.7m
71,HELLO KITTY / ハローキティ【Sanrio Official】,VTuber,Independent,[],Female,['Japanese'],[],+ Add,+ Add,Every 5.56 Day(s),308k,41.4m
72,AshuneraGames,VStreamer,Independent,[],Female,['English'],[],+ Add,+ Add,Every 3.7 Day(s),83.7k,2.8m
73,DeepWebUnderground,VTuber,Independent,['Chatting'],Female,['Japanese'],['3D'],2018/04/10,Active,Every 6.04 Day(s),106k,7.5m
74,VESPERBELL,VTuber,Independent,[],Female,['Japanese'],[],+ Add,+ Add,Every 6.86 Day(s),122k,24m
75,GreatMoonAroma 대월향,VStreamer,Independent,['Gaming'],Male,"['English', 'Japanese', 'Korean']",['3D'],2018/09/30,Active,Every 12.95 Day(s),983.4k,150m
76,芦田イリア – Ashida Channel,VTuber,Independent,[],Male,['Japanese'],[],+ Add,+ Add,Every 1.68 Day(s),104k,30.3m
77,Chloe Pawapua Ch.,VTuber,Independent,[],Male,['Japanese'],[],+ Add,+ Add,Every 4.37 Day(s),92.4k,3.3m
78,Fumino Tamaki,VTuber,Nijisanji,[],Female,['Japanese'],['L2D'],2018/03/22,+ Add,Every 2.35 Day(s),315k,36.5m
79,Kaga Nazuna なずちゃんねる,VStreamer,Independent,"['Gaming', 'Music']",Female,['Japanese'],[],10/11/2018,+ Add,Every 1.21 Day(s),176k,16m
80,Inaba Haneru,VTuber,AniMare,[],Female,['Japanese'],"['3D', 'L2D']",2018/06/09,+ Add,Every 0.69 Day(s),308k,84.9m
81,Peanuts-kun,VTuber,Independent,[],Male,['Japanese'],"['3D', 'L2D']",2017/07/04,+ Add,Every 9.94 Day(s),142k,28.7m
82,Shin Yuya,VTuber,Nijisanji,[],Female,['Korean'],['L2D'],2020/01/25,+ Add,Every 5.85 Day(s),118.3k,4.9m
83,璐洛洛 Ruroro【人造人Vtuber】,VTuber,Independent,[],Female,['Japanese'],[],+ Add,+ Add,Every 0.86 Day(s),110k,14.4m
84,Yukoku Roberu,VTuber,Hololive,[],Male,['Japanese'],['L2D'],2019/12/24,+ Add,Every 0.93 Day(s),230k,13.1m
85,RIM,VTuber,KAMITSUBAKI STUDIO,[],Female,['Japanese'],['3D'],2019/10/18,+ Add,Every 8.7 Day(s),184k,58.6m
86,Nui Sociere,VTuber,Nijisanji,[],Female,['Japanese'],"['3D', 'L2D']",2019/06/25,+ Add,Every 1.37 Day(s),357k,74.1m
87,Utai Makea,VTuber,Upd8,[],Female,['Japanese'],"['3D', 'L2D']",2018/02/25,+ Add,Every 0.51 Day(s),293k,65.8m
88,Nana,VTuber,Independent,[],Female,['Japanese'],[],+ Add,+ Add,Every 2.46 Day(s),192k,212.4m
89,Kaf,VTuber,KAMITSUBAKI STUDIO,[],Female,['Japanese'],['3D'],2018/10/18,+ Add,Every 6.34 Day(s),622k,160.7m
90,Apricot (Froot),VStreamer,VShojo,[],Female,['English'],['L2D'],11/27/2020,Active,Every 3.15 Day(s),365.7k,5.7m
91,Nekomiya Hinata,VTuber,Independent,['Gaming'],Female,['Japanese'],['3D'],2018/02/11,+ Add,Every 2.57 Day(s),530k,52m
92,Bungotaiga,VTuber,Independent,['Gaming'],Genderfluid,['English'],['3D'],04/27/2020,Active,Every 1.04 Day(s),138.5k,22.3m
93,Naruse Naru,VTuber,VOIZ,[],Male,['Japanese'],['L2D'],2018/06/09,+ Add,Every 1.8 Day(s),109k,8m
94,Veibae,VTuber,Independent,[],Female,['English'],['3D'],2020/04/12,+ Add,Every 2.34 Day(s),1.2m,26.3m
95,Kagura Mea,VTuber,Independent,[],Female,['Japanese'],['L2D'],2018/06/28,+ Add,Every 6.48 Day(s),292k,17.4m
96,Lumi,VTuber,Independent,"['Chatting', 'Gaming', 'Music']",Female,['English'],"['3D', 'L2D']",2020/07/08,Active,Every 0.88 Day(s),221.8k,8.2m
97,Hana Macchia,VTuber,Nijisanji,['Gaming'],Female,"['English', 'Indonesian', 'Japanese']",['L2D'],2019/09/13,Active,Every 2.07 Day(s),263k,12.5m
98,Ryan1993uk,VTuber,Independent,[],Female,['English'],[],+ Add,+ Add,Every 20.18 Day(s),157.2k,15.7m
99,Ryushen,VTuber,Nijisanji,['Music'],Agender,['Japanese'],"['3D', 'L2D']",2018/06/08,Active,Every 3.35 Day(s),593.6k,154m
100,Project A.I.D 公式チャンネル,VTuber,Independent,[],Agender,['Japanese'],[],+ Add,+ Add,Every 16.53 Day(s),88.3k,6.5m
101,NIJISANJI ID Official,VTuber,Independent,[],Agender,['Japanese'],[],+ Add,+ Add,Every 6.05 Day(s),78.1k,5.9m
102,Komori Met,VTuber,VApArt (ブイアパ),[],Female,['Japanese'],['L2D'],2020/05/30,+ Add,Every 0.91 Day(s),207k,26.2m
103,Shigure Ui,VTuber,Independent,[],Female,['Japanese'],['L2D'],2019/05/18,Active,Every 6.18 Day(s),650k,34.8m
104,LethalMage,VTuber,Independent,[],Female,['English'],[],+ Add,+ Add,Every 67.76 Day(s),85.8k,9.9m
105,Aoi Nabi,VTuber,Independent,"['Art', 'ASMR', 'Chatting', 'Gaming', 'Music']",Female,"['Japanese', 'Korean']",['L2D'],05/02/2021,Active,Every 4.88 Day(s),313k,2.5m
106,Shiranui Flare,VTuber,Hololive,"['Chatting', 'Gaming', 'Music']",Female,['Japanese'],"['3D', 'L2D']",2019/08/07,Active,Every 0.96 Day(s),838k,85.7m
107,Natsumi Moe,VTuber,Independent,[],Female,['English'],"['3D', 'L2D']",2018-07-30,Active,Every 2.25 Day(s),492.8k,48.6m
108,瀬兎一也/SetoKazuya,VTuber,Independent,[],Female,['Japanese'],[],+ Add,+ Add,Every 14.14 Day(s),112k,7.2m
109,Gawr Gura ,VTuber,Hololive,"['Chatting', 'Gaming', 'Music']",Female,['English'],['L2D'],2020/09/13,Active,Every 1.73 Day(s),3.7m,222.1m
110,Asano Ninja Sisters,VTuber,Independent,[],Female,['Japanese'],['3D'],2018/05,+ Add,Every 2.49 Day(s),179.4k,25.8m
111,Himekuma Ribon,VTuber,Re:AcT,[],Female,['Japanese'],['L2D'],2019/09/17,+ Add,Every 0.64 Day(s),90.7k,12.7m
112,Deep Blizzard Miyuki,VTuber,Independent,[],Female,['Japanese'],['L2D'],2018/03/20,+ Add,Every 2.31 Day(s),252k,22m
113,Tamachi Kanna,VTuber,Independent,[],Female,"['English', 'Indonesian']",['L2D'],2020/10/10,Active,Every 4.2 Day(s),140k,2.4m
114,Moona Hoshinova,VTuber,Hololive,"['Chatting', 'Gaming', 'Music']",Female,"['English', 'Indonesian']","['Model', 'L2D']",2020/04/11,Active,Every 1.63 Day(s),961k,48.6m
115,Akai Haato,VTuber,Hololive,"['Chatting', 'Gaming', 'Horror', 'Music']",Female,['Japanese'],"['3D', 'L2D']",2018/06/02,Active,Every 1.33 Day(s),1.5m,160.1m
116,Sifir Esirer,VTuber,Independent,[],Female,['Japanese'],['L2D'],2019/03/09,+ Add,Every 14.32 Day(s),245k,65.3m
117,AlyMew ,VTuber,Independent,"['Chatting', 'Gaming', 'Manga', 'Voice Acting']",Female,['English'],['3D'],01/17/2021,Active,Every 0.79 Day(s),81.4k,6.7m
118,Zen Gunawan,VTuber,MAHAPANCA,"['Gaming', 'Music']",Male,"['English', 'Indonesian']",['L2D'],08/02/2020,Active,Every 2.17 Day(s),107k,4m
119,BatataComPepino,VTuber,Independent,[],Female,['Portuguese'],['L2D'],2020/08/04,+ Add,Every 1.41 Day(s),544.6k,11.7m
120,Yorumi Rena,VTuber,Nijisanji,[],Female,['Japanese'],"['3D', 'L2D']",2019/07/06,+ Add,Every 0.93 Day(s),382k,70.7m
121,VALIS,VTuber,Independent,[],Female,['Japanese'],[],+ Add,+ Add,Every 4.65 Day(s),96.2k,17.8m
122,Kageyama Shien,VTuber,Hololive,[],Male,['Japanese'],['L2D'],2020/04/30,+ Add,Every 1.92 Day(s),178k,6.9m
123,Kanda Shoichi,VTuber,Nijisanji,[],Male,['Japanese'],['L2D'],2018/08/09,+ Add,Every 1.15 Day(s),211k,26.5m
124,Ash,VStreamer,Independent,['Gaming'],Female,['English'],['L2D'],+ Add,Active,Every 0.94 Day(s),1m,35.8m
125,Ponpoko,VTuber,Independent,[],Female,['Japanese'],['L2D'],2018/02/01,+ Add,Every 1.27 Day(s),251k,107.2m
126,Kitakoji Hisui,VTuber,Nijisanji,"['Chatting', 'Gaming']",Female,['Japanese'],['L2D'],2020/08/09,Active,Every 1.64 Day(s),187k,14.9m
127,Levi Elipha,VTuber,Nijisanji,[],Female,['Japanese'],['L2D'],2019/05/21,+ Add,Every 1.38 Day(s),253k,40.3m
128,KamiyaJuu,VTuber,Independent,"['Anime', 'Art', 'Chatting', 'Gaming', 'Manga', 'Music', 'Voice Acting']",Male,"['English', 'Filipino', 'Japanese']","['3D', 'L2D']",08/24/2020,Active,Every 2.35 Day(s),198k,9.7m
129,Hayase Sou,VTuber,Nijisanji,[],Female,['Japanese'],['L2D'],2019/09/21,+ Add,Every 2.81 Day(s),193k,19m
130,Miyazaki Yuzuya ,VTuber,Independent,[],Male,['English'],"['3D', 'L2D']",2018-07-28,+ Add,Every 4.73 Day(s),163.8k,16.6m
131,一ノ瀬うるは,VTuber,Independent,[],Male,['Japanese'],[],+ Add,+ Add,Every 1.07 Day(s),319k,43.8m
132,Hoshino Mea,VTuber,Independent,[],Female,['Japanese'],[],2018/7/26,+ Add,Every 3.67 Day(s),139k,23.3m
133,Usada Pekora,VTuber,Hololive,"['Chatting', 'Gaming', 'Music']",Female,['Japanese'],"['3D', 'L2D']",2019/07/17,Active,Every 0.89 Day(s),1.8m,325.8m
134,祭 雛子/まつり ひなこ,VTuber,Independent,[],Female,['Japanese'],[],+ Add,+ Add,Every 40.25 Day(s),73k,8.1m
135,Gilzaren III,VTuber,Nijisanji,['Chatting'],Male,['Japanese'],['L2D'],2018/03/19,Active,Every 50.12 Day(s),110k,2.4m
136,Minato Aqua,VTuber,Hololive,"['Chatting', 'Gaming', 'Music']",Female,['Japanese'],"['3D', 'L2D']",2018/08/08,Active,Every 2.01 Day(s),1.5m,173.4m
137,Roboco,VTuber,Hololive,[],Female,['Japanese'],['3D'],2018/03/04,Active,Every 0.97 Day(s),792k,59.3m
138,Maimoto Keisuke,VTuber,Nijisanji,"['Chatting', 'Gaming']",Male,['Japanese'],"['3D', 'L2D']",2018/08/11,Active,Every 2.95 Day(s),354k,68.9m
139,Hacka Doll,VTuber,Independent,[],Male,['Japanese'],[],2018/03/31,+ Add,Every 14.2 Day(s),72k,3.1m
140,Silvervale,VTuber,VShojo,[],Female,['English'],['3D'],2019-02-01,+ Add,Every 1.57 Day(s),477.9k,15.2m
141,Yamato Iori,VTuber,.LIVE,[],Female,['Japanese'],['L2D'],20/5/2018,+ Add,Every 3.14 Day(s),95.4k,10.9m
142,Momosuzu Nene,VTuber,Hololive,"['Chatting', 'Gaming', 'Music']",Female,['Japanese'],['L2D'],2020/08/13,Active,Every 1.37 Day(s),860k,61.4m
143,Yuki Chihiro,VTuber,Nijisanji,[],Female,['Japanese'],"['3D', 'L2D']",2018/02/08,+ Add,Every 0.99 Day(s),578k,142.2m
144,Yaguruma Rine,VTuber,Nijisanji,[],Female,['Japanese'],['L2D'],2018/00/00,+ Add,Every 25.35 Day(s),73.1k,2m
145,Zona,VTuber,Polygon Project,[],Female,['Thai'],[],+ Add,+ Add,Every 1.22 Day(s),81.6k,8.1m
146,Ookami Mio,VTuber,Hololive,"['Chatting', 'Gaming', 'Music']",Female,['Japanese'],"['3D', 'L2D']",2018/12/07,Active,Every 1.49 Day(s),918k,77.5m
147,Kimino Miya,VTuber,Upd8,[],Female,"['English', 'Japanese']",['3D'],2018-07-01,+ Add,Every 5.7 Day(s),237k,3.3m
148,NIJISANJI English Official,VTuber,Independent,[],Female,['Japanese'],[],+ Add,+ Add,Every 1.73 Day(s),208k,27.4m
149,Namirin,VTuber,Independent,"['Gaming', 'Music']",Female,"['English', 'Japanese']",['L2D'],02/22/2021,Active,Every 2.13 Day(s),358k,159.6m
150,Amatsuka Uto,VTuber,Independent,"['Chatting', 'Education', 'Gaming', 'Music']",Female,['Japanese'],['L2D'],12/14/2020,Active,Every 2.88 Day(s),603k,25.9m
151,すももチャンネル,VTuber,Independent,[],Female,['Japanese'],[],+ Add,+ Add,Every 0.94 Day(s),226k,86.1m
152,Inuyama Tamaki,VTuber,NoriPro,[],Male,['Japanese'],"['3D', 'L2D']",2017/07/26,+ Add,Every 0.94 Day(s),784k,201m
153,Hiyatoi Reiko,VTuber,Independent,[],Female,['Japanese'],['L2D'],2018/03/22,+ Add,Every 14.44 Day(s),71.9k,9.2m
154,Ibrahim,VTuber,Nijisanji,[],Male,['Japanese'],['L2D'],2020/02/01,+ Add,Every 1.14 Day(s),419k,89.8m
155,みあたみちゃんねるmiatamiChannel,VTuber,Independent,[],Male,['Japanese'],[],+ Add,+ Add,Every 1.12 Day(s),119k,9.5m
156,Todoroki Kyoko,VTuber,Nijisanji,[],Female,['Japanese'],['L2D'],2018/06/07,+ Add,Every 3.33 Day(s),114k,7.2m
157,Mayuzumi Kai,VTuber,Nijisanji,[],Male,['Japanese'],"['3D', 'L2D']",2019/07/28,+ Add,Every 2.45 Day(s),481k,77.7m
158,Hime Hajime,VStreamer,VShojo,['Gaming'],Female,['English'],['L2D'],+ Add,Active,Every 6.33 Day(s),194.8k,1.1m
159,Kamiko Kana,VTuber,Independent,"['Art', 'Chatting', 'Gaming']",Female,['English'],['L2D'],2020/04/04,Active,Every 1.72 Day(s),161.3k,1.5m
160,Suou Patra,VTuber,HoneyStrap,[],Female,['Japanese'],"['3D', 'L2D']",2018/07/14,+ Add,Every 0.86 Day(s),536k,147.4m
161,Amamiya Kokoro,VTuber,Independent,"['Chatting', 'Gaming']",Female,['Japanese'],[],2019/08/13,Active,Every 1.28 Day(s),375k,46m
162,Kudo Chitose,VTuber,Nijisanji,[],Female,['Japanese'],[],2019/01/10,+ Add,Every 30.29 Day(s),176k,11.8m
163,白雪レイドーReid Channelー,VTuber,Independent,[],Female,['Japanese'],[],+ Add,+ Add,Every 0.76 Day(s),188k,46m
164,Tomari Mari,VTuber,Upd8,[],Female,['Japanese'],"['3D', 'L2D']",2018/07/01,+ Add,Every 1.16 Day(s),239k,22.3m
165,Aruka,VTuber,Independent,"['ASMR', 'Chatting']",Female,['Japanese'],['L2D'],11/28/2020,Active,Every 1.93 Day(s),149k,8.9m
166,ルキロキチャンネル – Ruki Roki Channel –,VTuber,Independent,[],Female,['Japanese'],[],+ Add,+ Add,Every 5.8 Day(s),110k,15.5m
167,Omaru Polka,VTuber,Hololive,"['ASMR', 'Chatting', 'Gaming', 'Music']",Female,['Japanese'],"['3D', 'L2D']",2020/08/16,Active,Every 1.02 Day(s),902k,104.9m
168,Suzuka Utako,VTuber,Nijisanji,"['Chatting', 'Gaming', 'Mature', 'Music']",Female,['Japanese'],"['3D', 'L2D']",2018/03/28,+ Add,Every 2.37 Day(s),498k,98.6m
169,凪原涼菜 / SUZUNA NAGIHARA,VTuber,Independent,[],Female,['Japanese'],[],+ Add,+ Add,Every 6.45 Day(s),128k,26.5m
170,Fumi,VTuber,Nijisanji,[],Female,['Japanese'],['L2D'],2019/10/19,+ Add,Every 1.21 Day(s),194k,25.5m
171,犬塚いちご,VTuber,Independent,[],Female,['Japanese'],[],+ Add,+ Add,Every 1.73 Day(s),132k,35.2m
172,アメノセイ-AMENOSEI,VTuber,Independent,[],Female,['Japanese'],[],+ Add,+ Add,Every 1.94 Day(s),72.3k,6.9m
173,ホロスターズ公式,VTuber,Independent,[],Female,['Japanese'],[],+ Add,+ Add,Every 9.21 Day(s),117k,4.9m
174,Hayama Marin,VTuber,Nijisanji,[],Female,['Japanese'],['L2D'],2019/06/25,+ Add,Every 1.37 Day(s),210k,17.5m
175,YuChan Channel,VTuber,Independent,[],Female,['Thai'],[],+ Add,+ Add,Every 1.77 Day(s),115k,4m
176,Hoshikawa Sara,VTuber,Nijisanji,"['Chatting', 'Gaming', 'Music']",Female,['Japanese'],['L2D'],2019/10/19,Active,Every 1.44 Day(s),664k,91.4m
177,Shishiro Botan,VTuber,Hololive,"['Chatting', 'Gaming']",Female,['Japanese'],"['3D', 'L2D']",2020/08/14,Active,Every 1.08 Day(s),1.1m,103.3m
178,Senpai Artz,VTuber,Independent,"['Art', 'Gaming']",Female,['English'],['3D'],04/13/2021,Active,Every 5.87 Day(s),341.1k,12.8m
179,Moeka Hoshizora ,VStreamer,Independent,"['Anime', 'Art', 'Chatting', 'Cooking', 'Gaming', 'Manga', 'Voice Acting']",Female,"['English', 'Spanish']",['L2D'],07/22/2020,Active,Every 1.96 Day(s),287.8k,3.4m
180,Fuji Aoi,VTuber,Smarprise,['Music'],Female,['Japanese'],['3D'],2017/12/08,Active,Every 1.54 Day(s),332k,91.1m
